Country,kaverage
Albania,13.191712611241625
Algeria,13.965754370298438
Antigua and Barbuda,15.689703041308386
Argentina,14.116284574031162
Armenia,13.68114272478115
Australia,12.85522564303453
Austria,12.475780778964538
Azerbaijan,15.278547680884587
Bahamas,15.456068234015671
Bahrain,17.86829465641137
Bangladesh,16.341207852033538
Belarus,12.374119970368048
Belgium,11.382088945698742
Belize,18.492025372546784
Benin,22.389687951109728
Bhutan,17.385406238020725
Bolivia (Plurinational State of,17.03589428678526
Bosnia and Herzegovina,11.165890270194883
Botswana,17.769981513806833
Brazil,15.19028762877682
Brunei Darussalam,15.401681048464186
Bulgaria,12.732037984880558
Burkina Faso,22.11616036991414
Cabo Verde,17.1772432799607
Cambodia,18.528243190523863
Cameroon,22.045187704969464
Canada,12.567023181192504
Chile,13.708551257990292
China,13.910546809554338
Colombia,15.259672821995764
Congo,18.717088056749084
Costa Rica,14.596285203086378
Croatia,11.732074709023571
Cyprus,13.493499854814514
Czech Republic,12.881326478842754
Denmark,12.407923731880821
Dominican Republic,15.824619628799491
Ecuador,15.825290435568181
Egypt,15.671034973228922
El Salvador,16.132070101056783
Estonia,12.50498385638422
Ethiopia,22.9060514381742
Fiji,15.262549936649675
Finland,11.330851324691666
France,11.78077057136881
Georgia,13.637471586837545
Germany,6.860278209169456
Ghana,19.07341259530995
Greece,11.787158692188653
Guatemala,18.98073830683683
Guinea,21.552943236322548
Guyana,15.03542010598135
Haiti,17.73900794580966
Honduras,18.26819715043186
"Hong Kong SAR, China",12.713340333855248
Hungary,12.068153134063973
Iceland,14.002986025516629
India,15.670700720105476
Indonesia,15.259691257599249
Iran (Islamic Republic of),13.673779822679581
Iraq,20.63787584515522
Ireland,12.469565788368417
Israel,13.600965124491648
Italy,14.36572149377492
Jamaica,14.886772341571266
Japan,11.794838196660177
Jordan,17.15626550966469
Kazakhstan,15.285216437948794
Kenya,20.06927279286991
Kiribati,16.13550531243114
Kuwait,16.420023901639695
Kyrgyzstan,16.137318257030806
Lao People's Democratic Republi,18.318960605743236
Latvia,12.735064417188344
Lebanon,13.507609176835734
Lesotho,18.218406911776654
Liberia,19.81992219850041
Lithuania,12.831754374711199
Luxembourg,16.374556317252853
Malaysia,15.403149800555457
Maldives,17.254128507924534
Malta,11.942014711399406
Mauritania,18.82316325028847
Mauritius,13.09886070054732
Mexico,15.421936004513565
Mongolia,15.586167825694806
Montenegro,12.272913710353368
Morocco,14.301846738498533
Mozambique,21.24850924002355
Namibia,19.248825118680653
Nepal,19.60880662828234
Netherlands,13.930809697092679
New Zealand,13.353226156452857
Nicaragua,17.594950529854316
Niger,24.03802076532834
Nigeria,20.470588184821423
Oman,17.29940931604055
Pakistan,18.64967673222281
Panama,14.62176742430789
Paraguay,16.969223840738213
Peru,15.997503379649245
Philippines,17.042748930133346
Poland,13.929408197652204
Portugal,11.879360392080843
Qatar,22.844912833707408
Republic of Korea,13.00737880667439
Romania,11.969848372117392
Russian Federation,12.875689796246515
Rwanda,20.64959731449785
Saint Lucia,15.23489984736215
Samoa,15.465396420026892
Sao Tome and Principe ,17.9883813436739
Saudi Arabia,15.639997080431902
Senegal,20.00507287911233
Serbia,12.214061058404774
Seychelles,14.223489404040782
Sierra Leone,20.619598000413294
Singapore,13.817150471663734
Slovakia,13.200416161153276
Slovenia,12.010992603727983
Solomon Islands,19.076656438530385
South Africa,15.916478666851713
Spain,12.018964433976906
Sri Lanka,13.993581075571099
Suriname,14.644146047257822
Sweden,12.577881935760866
Switzerland,13.138413340079955
Syrian Arab Republic,16.023490949008995
Tajikistan,18.22922682516812
TFYR of Macedonia,13.068503003467344
Thailand,14.287674911083245
Timor-Leste,18.648451439074414
Tonga,15.897038231450923
Tunisia,13.392080876855548
Turkey,13.716596550847479
Uganda,24.313583551049565
Ukraine,12.650563363633681
United Arab Emirates,20.645533065557473
United Kingdom of Great Britain,9.475115167626232
United Republic of Tanzania,22.06017467574061
United States of America,12.600510436738295
Uruguay,13.530152808283248
Uzbekistan,15.392878822737083
Vanuatu,18.95273208531934
Viet Nam,15.848661924195342
Yemen,19.432560023804967
Zambia,22.4509925257256
Zimbabwe,21.20777892710364
