-234420331	0.0426931	0.87937	0.0333786	0.0430993	0.000140895	1.55334e-05	0.000286171
-234420330	0.0413601	0.858819	0.0424252	0.0555062	0.000182338	2.01279e-05	0.000369423
-234420329	0.0396992	0.833032	0.0535557	0.0712685	0.000235584	2.60483e-05	0.000475768
-234420328	0.0376557	0.801014	0.0670184	0.0911542	0.000303741	3.36549e-05	0.000610873
-234420327	0.0351821	0.761788	0.0829419	0.116019	0.00039057	4.33916e-05	0.000781322
-234420326	0.0322486	0.714535	0.101228	0.146759	0.000500516	5.57957e-05	0.000994448
-234420325	0.028859	0.658801	0.121418	0.184226	0.00063867	7.15022e-05	0.00125794
-234420324	0.0250673	0.59476	0.142551	0.229083	0.000810611	9.12386e-05	0.00157908
-234420323	0.020993	0.523486	0.163072	0.281619	0.00102207	0.000115802	0.00196356
-234420322	0.0168243	0.447141	0.180866	0.341523	0.00127837	0.00014601	0.00241388
-234420321	0.0128021	0.368961	0.193505	0.407671	0.00158364	0.000182625	0.00292734
-234420320	0.0091795	0.29292	0.198743	0.478019	0.00193979	0.000226234	0.00349433
-234420319	0.00616302	0.223071	0.195169	0.549679	0.00234556	0.000277113	0.00409731
-234420318	0.00385968	0.162723	0.182755	0.619247	0.00279574	0.00033508	0.00471153
-234420317	0.00225507	0.11377	0.163022	0.683345	0.00328099	0.000399391	0.00530783
-234420316	0.00123597	0.0764472	0.138664	0.739212	0.00378848	0.000468712	0.00585724
-234420315	0.000642974	0.0495942	0.112777	0.785152	0.00430329	0.000541212	0.00633611
-234420314	0.000323213	0.0312445	0.0880709	0.820677	0.00481018	0.000614755	0.00672988
-234420313	0.00016057	0.0192378	0.0663669	0.846343	0.00529541	0.000687168	0.00703437
-234420312	8.07188e-05	0.0116482	0.0485106	0.863406	0.00574798	0.000756486	0.00725437
-234420311	4.18805e-05	0.00697374	0.034566	0.87343	0.00616028	0.00082114	0.00740062
-234420310	2.26877e-05	0.00414717	0.0241171	0.87799	0.00652799	0.00088004	0.00748654
-234420309	1.28567e-05	0.00245843	0.0165399	0.878486	0.0068497	0.000932571	0.00752563
-234420308	7.57935e-06	0.00145658	0.0111855	0.876062	0.00712615	0.000978528	0.00752988
-234420307	4.60729e-06	0.000864194	0.00747875	0.871604	0.00735964	0.00101802	0.00750911
-234420306	2.8624e-06	0.000514122	0.00495412	0.865764	0.00755341	0.00105138	0.00747089
-234420305	1.80468e-06	0.000306968	0.0032569	0.859012	0.00771116	0.00107906	0.00742084
-234420304	1.14886e-06	0.000184057	0.00212782	0.851675	0.00783673	0.00110159	0.00736296
-234420303	7.36086e-07	0.000110869	0.00138303	0.843976	0.00793387	0.00111953	0.00730007
-234420302	4.73724e-07	6.71074e-05	0.000895117	0.836068	0.00800614	0.00113341	0.00723408
-234420301	3.059e-07	4.08217e-05	0.000577295	0.828052	0.00805679	0.00114373	0.0071663
-234420300	1.98081e-07	2.49576e-05	0.00037123	0.819994	0.00808875	0.00115097	0.00709759
-234420299	1.28589e-07	1.53362e-05	0.00023814	0.811936	0.00810464	0.00115554	0.00702852
-234420298	8.36824e-08	9.47185e-06	0.000152457	0.803909	0.00810674	0.00115781	0.00695946
-234420297	5.45939e-08	5.87955e-06	9.74411e-05	0.795928	0.00809708	0.00115811	0.00689065
-234420296	3.57083e-08	3.66802e-06	6.21942e-05	0.788006	0.00807739	0.00115673	0.00682224
-234420295	2.34181e-08	2.29975e-06	3.96539e-05	0.78015	0.0080492	0.00115391	0.00675434
-234420294	1.54006e-08	1.449e-06	2.52612e-05	0.772364	0.00801382	0.00114989	0.006687
-234420293	1.01571e-08	9.17443e-07	1.60821e-05	0.76465	0.00797236	0.00114483	0.00662026
-234420292	6.71866e-09	5.83697e-07	1.02339e-05	0.75701	0.00792581	0.00113891	0.00655414
-234420291	4.45776e-09	3.7314e-07	6.51059e-06	0.749444	0.00787499	0.00113226	0.00648866
-234420290	2.96688e-09	2.39669e-07	4.14148e-06	0.741952	0.00782063	0.001125	0.0064238
-234420289	1.98089e-09	1.54662e-07	2.6346e-06	0.734534	0.00776333	0.00111723	0.00635959
-234420288	1.32683e-09	1.00269e-07	1.67634e-06	0.727189	0.00770361	0.00110905	0.006296
-234420287	8.91639e-10	6.53038e-08	1.06699e-06	0.719918	0.00764194	0.00110052	0.00623305
-234420286	6.01162e-10	4.27245e-08	6.7948e-07	0.712719	0.00757869	0.00109171	0.00617073
-234420285	4.06665e-10	2.80777e-08	4.32983e-07	0.705592	0.00751419	0.00108267	0.00610902
-234420284	2.76016e-10	1.85341e-08	2.76125e-07	0.698537	0.00744872	0.00107346	0.00604794
-234420283	1.8797e-10	1.2288e-08	1.76257e-07	0.691551	0.00738253	0.0010641	0.00598746
-234420282	1.28442e-10	8.18234e-09	1.12631e-07	0.684636	0.00731581	0.00105465	0.00592758
-234420281	8.80625e-11	5.47185e-09	7.20625e-08	0.67779	0.00724875	0.00104512	0.00586831
-234420280	6.05819e-11	3.67479e-09	4.61707e-08	0.671012	0.00718148	0.00103554	0.00580963
-234420279	4.18179e-11	2.47829e-09	2.9628e-08	0.664302	0.00711415	0.00102593	0.00575153
-234420278	2.89632e-11	1.67832e-09	1.90454e-08	0.657659	0.00704684	0.00101631	0.00569401
-234420277	2.01278e-11	1.14124e-09	1.22662e-08	0.651082	0.00697966	0.00100669	0.00563707
-234420276	1.40347e-11	7.79188e-10	7.91656e-09	0.644571	0.00691269	0.000997095	0.0055807
-234420275	9.81899e-12	5.34135e-10	5.121e-09	0.638126	0.00684598	0.000987526	0.0055249
-234420274	6.89256e-12	3.67606e-10	3.32084e-09	0.631744	0.00677959	0.000977996	0.00546965
-234420273	4.85443e-12	2.53992e-10	2.15925e-09	0.625427	0.00671357	0.000968512	0.00541495
-234420272	3.43031e-12	1.76175e-10	1.40801e-09	0.619173	0.00664795	0.000959081	0.0053608
-234420271	2.43198e-12	1.2267e-10	9.2097e-10	0.612981	0.00658278	0.000949707	0.00530719
-234420270	1.72985e-12	8.57391e-11	6.04384e-10	0.606851	0.00651807	0.000940397	0.00525412
-234420269	1.23444e-12	6.01523e-11	3.9801e-10	0.600783	0.00645385	0.000931153	0.00520158
-234420268	8.83773e-13	4.23585e-11	2.63074e-10	0.594775	0.00639013	0.000921978	0.00514957
-234420267	6.34757e-13	2.99381e-11	1.74561e-10	0.588827	0.00632693	0.000912875	0.00509807
-234420266	4.57364e-13	2.12368e-11	1.16301e-10	0.582939	0.00626427	0.000903847	0.00504709
-234420265	3.30595e-13	1.51187e-11	7.78147e-11	0.577109	0.00620214	0.000894895	0.00499662
-234420264	2.39717e-13	1.08015e-11	5.2294e-11	0.571338	0.00614056	0.00088602	0.00494665
-234420263	1.74365e-13	7.74431e-12	3.53035e-11	0.565625	0.00607954	0.000877223	0.00489719
-234420262	1.27224e-13	5.57177e-12	2.39449e-11	0.559969	0.00601907	0.000868505	0.00484821
-234420261	9.31151e-14	4.02252e-12	1.63187e-11	0.554369	0.00595916	0.000859867	0.00479973
-234420260	6.83594e-14	2.91395e-12	1.11756e-11	0.548825	0.0058998	0.000851308	0.00475173
-234420259	5.03378e-14	2.11801e-12	7.69124e-12	0.543337	0.00584101	0.000842829	0.00470422
-234420258	3.7179e-14	1.54462e-12	5.31962e-12	0.537904	0.00578278	0.00083443	0.00465717
-234420257	2.75422e-14	1.13018e-12	3.69769e-12	0.532525	0.0057251	0.000826111	0.0046106
-234420256	2.04637e-14	8.29637e-13	2.58313e-12	0.527199	0.00566798	0.000817871	0.0045645
-234420255	1.52491e-14	6.10983e-13	1.81348e-12	0.521927	0.00561141	0.000809711	0.00451885
-234420254	1.13965e-14	4.51394e-13	1.27943e-12	0.516708	0.00555539	0.00080163	0.00447366
-234420253	8.54182e-15	3.34543e-13	9.07048e-13	0.511541	0.00549992	0.000793627	0.00442893
-234420252	6.42055e-15	2.48717e-13	6.46132e-13	0.506426	0.00544499	0.000785702	0.00438464
-234420251	4.83978e-15	1.8548e-13	4.62436e-13	0.501361	0.0053906	0.000777855	0.00434079
-234420250	3.65847e-15	1.38745e-13	3.32493e-13	0.496348	0.00533674	0.000770085	0.00429738
-234420249	2.77322e-15	1.04099e-13	2.40142e-13	0.491384	0.00528342	0.000762392	0.00425441
-234420248	2.10798e-15	7.8339e-14	1.74205e-13	0.48647	0.00523062	0.000754774	0.00421187
-234420247	1.60671e-15	5.91278e-14	1.26916e-13	0.481606	0.00517835	0.000747232	0.00416975
-234420246	1.22797e-15	4.47584e-14	9.28501e-14	0.47679	0.00512659	0.000739764	0.00412805
-234420245	9.41028e-16	3.39793e-14	6.82045e-14	0.472022	0.00507535	0.00073237	0.00408677
-234420244	7.23058e-16	2.58701e-14	5.02993e-14	0.467302	0.00502462	0.00072505	0.0040459
-234420243	5.57043e-16	1.9752e-14	3.72375e-14	0.462629	0.00497439	0.000717802	0.00400544
-234420242	4.30268e-16	1.5123e-14	2.76711e-14	0.458002	0.00492466	0.000710627	0.00396539
-234420241	3.33206e-16	1.1611e-14	2.06374e-14	0.453422	0.00487543	0.000703523	0.00392573
-234420240	2.58702e-16	8.9391e-15	1.54464e-14	0.448888	0.00482668	0.000696489	0.00388648
-234420239	2.01368e-16	6.90072e-15	1.16012e-14	0.444399	0.00477842	0.000689526	0.00384761
-234420238	1.57134e-16	5.34145e-15	8.74269e-15	0.439955	0.00473065	0.000682632	0.00380914
-234420237	1.22923e-16	4.1455e-15	6.61028e-15	0.435556	0.00468335	0.000675807	0.00377104
-234420236	9.63982e-17	3.22578e-15	5.01411e-15	0.4312	0.00463652	0.00066905	0.00373333
-234420235	7.57817e-17	2.51664e-15	3.81536e-15	0.426888	0.00459016	0.00066236	0.003696
-234420234	5.97188e-17	1.96845e-15	2.91218e-15	0.422619	0.00454426	0.000655737	0.00365904
-234420233	4.71735e-17	1.54358e-15	2.22952e-15	0.418393	0.00449882	0.000649181	0.00362245
-234420232	3.73521e-17	1.21347e-15	1.71195e-15	0.414209	0.00445384	0.000642689	0.00358623
-234420231	2.96451e-17	9.56328e-16	1.31835e-15	0.410067	0.0044093	0.000636263	0.00355036
-234420230	2.35832e-17	7.55535e-16	1.01815e-15	0.405966	0.00436521	0.000629901	0.00351486
-234420229	1.88041e-17	5.98357e-16	7.8851e-16	0.401907	0.00432156	0.000623602	0.00347971
-234420228	1.50277e-17	4.75021e-16	6.12349e-16	0.397888	0.00427835	0.000617366	0.00344491
-234420227	1.20369e-17	3.78007e-16	4.76835e-16	0.393909	0.00423557	0.000611193	0.00341046
-234420226	9.66289e-18	3.01517e-16	3.72301e-16	0.38997	0.00419321	0.000605081	0.00337636
-234420225	7.77432e-18	2.41067e-16	2.91447e-16	0.38607	0.00415128	0.00059903	0.0033426
-234420224	6.26859e-18	1.93181e-16	2.28743e-16	0.382209	0.00410977	0.00059304	0.00330917
-234420223	5.06548e-18	1.55162e-16	1.79988e-16	0.378387	0.00406867	0.00058711	0.00327608
-234420222	4.10209e-18	1.24907e-16	1.4198e-16	0.374603	0.00402799	0.000581239	0.00324332
-234420221	3.32901e-18	1.00776e-16	1.12276e-16	0.370857	0.00398771	0.000575427	0.00321088
-234420220	2.70732e-18	8.14874e-17	8.90033e-17	0.367149	0.00394783	0.000569673	0.00317878
-234420219	2.20633e-18	6.60349e-17	7.07247e-17	0.363477	0.00390835	0.000563976	0.00314699
-234420218	1.80177e-18	5.36287e-17	5.63337e-17	0.359842	0.00386927	0.000558336	0.00311552
-234420217	1.4744e-18	4.36467e-17	4.49762e-17	0.356244	0.00383058	0.000552753	0.00308436
-234420216	1.20896e-18	3.55981e-17	3.59918e-17	0.352681	0.00379227	0.000547225	0.00305352
-234420215	9.93295e-19	2.90946e-17	2.88679e-17	0.349155	0.00375435	0.000541753	0.00302298
-234420214	8.17724e-19	2.38287e-17	2.32064e-17	0.345663	0.00371681	0.000536336	0.00299275
-234420213	6.74511e-19	1.9556e-17	1.86968e-17	0.342206	0.00367964	0.000530972	0.00296283
-234420212	5.57463e-19	1.6082e-17	1.50967e-17	0.338784	0.00364284	0.000525663	0.0029332
-234420211	4.61614e-19	1.32518e-17	1.22163e-17	0.335397	0.00360641	0.000520406	0.00290387
-234420210	3.82975e-19	1.09414e-17	9.90678e-18	0.332043	0.00357035	0.000515202	0.00287483
-234420209	3.18333e-19	9.05161e-18	8.05091e-18	0.328722	0.00353465	0.00051005	0.00284608
-234420208	2.65096e-19	7.50282e-18	6.55643e-18	0.325435	0.0034993	0.00050495	0.00281762
-234420207	2.21172e-19	6.23104e-18	5.35044e-18	0.322181	0.00346431	0.0004999	0.00278944
-234420206	1.84863e-19	5.1847e-18	4.37522e-18	0.318959	0.00342966	0.000494901	0.00276155
-234420205	1.54795e-19	4.32222e-18	3.585e-18	0.315769	0.00339537	0.000489952	0.00273393
-234420204	1.29851e-19	3.60994e-18	2.94337e-18	0.312612	0.00336141	0.000485053	0.00270659
-234420203	1.0912e-19	3.02062e-18	2.42136e-18	0.309485	0.0033278	0.000480202	0.00267953
-234420202	9.186e-20	2.53213e-18	1.99582e-18	0.306391	0.00329452	0.0004754	0.00265273
-234420201	7.74648e-20	2.12647e-18	1.64824e-18	0.303327	0.00326158	0.000470646	0.0026262
-234420200	6.54382e-20	1.78901e-18	1.3638e-18	0.300293	0.00322896	0.00046594	0.00259994
-234420199	5.53731e-20	1.50776e-18	1.13057e-18	0.29729	0.00319667	0.00046128	0.00257394
-234420198	4.69352e-20	1.27296e-18	9.38975e-19	0.294318	0.0031647	0.000456667	0.0025482
-234420197	3.98497e-20	1.07659e-18	7.81288e-19	0.291374	0.00313306	0.000452101	0.00252272
-234420196	3.38899e-20	9.12074e-19	6.51268e-19	0.288461	0.00310173	0.00044758	0.00249749
-234420195	2.88687e-20	7.74011e-19	5.43864e-19	0.285576	0.00307071	0.000443104	0.00247252
-234420194	2.46313e-20	6.57952e-19	4.54983e-19	0.28272	0.00304	0.000438673	0.00244779
-234420193	2.10496e-20	5.60225e-19	3.81297e-19	0.279893	0.0030096	0.000434286	0.00242332
-234420192	1.80174e-20	4.778e-19	3.20102e-19	0.277094	0.00297951	0.000429943	0.00239908
-234420191	1.54462e-20	4.08165e-19	2.69192e-19	0.274323	0.00294971	0.000425644	0.00237509
-234420190	1.32626e-20	3.49241e-19	2.26764e-19	0.27158	0.00292021	0.000421387	0.00235134
-234420189	1.14052e-20	2.993e-19	1.91345e-19	0.268864	0.00289101	0.000417174	0.00232783
-234420188	9.8229e-21	2.56906e-19	1.61728e-19	0.266176	0.0028621	0.000413002	0.00230455
-234420187	8.47291e-21	2.2086e-19	1.3692e-19	0.263514	0.00283348	0.000408872	0.0022815
-234420186	7.31939e-21	1.90166e-19	1.16106e-19	0.260879	0.00280515	0.000404783	0.00225869
-234420185	6.33227e-21	1.63988e-19	9.86152e-20	0.25827	0.0027771	0.000400735	0.0022361
-234420184	5.4863e-21	1.41628e-19	8.38926e-20	0.255687	0.00274932	0.000396728	0.00221374
